index,name,datatype,source_node,source_property
0,MCM09_Communication_Fault_Reset_PB_LT_O,BOOL,MCM09,communication_fault_reset_lt_tag_name
1,MCM09_EStop_Actuated_LT_O,BOOL,MCM09,estop_actuated_lt_tag_name
2,MCM09_Jam_Restart_PB_LT_O,BOOL,MCM09,jam_restart_lt_tag_name
3,MCM09_Low_Air_Pressure_Reset_PB_LT_O,BOOL,MCM09,low_air_pressure_reset_lt_tag_name
4,MCM09_Motor_Fault_Reset_PB_LT_O,BOOL,MCM09,motor_fault_reset_lt_tag_name
5,MCM09_Power_Branch_Fault_Reset_PB_LT_O,BOOL,MCM09,power_branch_fault_reset_lt_tag_name
6,MCM09_Start_PB_LT_O,BOOL,MCM09,start_lt_tag_name
7,NCP1_1_BCN1_OIP,DINT,NCP1_1_BCN1,tag_name
8,NCP1_1_JR1_LT_OIP,BOOL,NCP1_1_JR1,lamp_tag_name
9,NCP1_1_VFD:O.ClearFault,BOOL,NCP1_1_VFD_APF,clear_fault_tag_name
10,NCP1_1_VFD:O.CommandedVelocity,REAL,NCP1_1_VFD_APF,commanded_velocity_tag_name
11,NCP1_1_VFD:O.DirectionCmd_0,BOOL,NCP1_1_VFD_APF,direction_cmd_0_tag_name
12,NCP1_1_VFD:O.DirectionCmd_1,BOOL,NCP1_1_VFD_APF,direction_cmd_1_tag_name
13,NCP1_1_VFD:O.DynamicAccelTime,REAL,NCP1_1_VFD_APF,dynamic_accel_time_tag_name
14,NCP1_1_VFD:O.DynamicDecelTime,REAL,NCP1_1_VFD_APF,dynamic_decel_time_tag_name
15,NCP1_1_VFD:O.Start,BOOL,NCP1_1_VFD_APF,start_tag_name
16,NCP1_1_VFD:O.Stop,BOOL,NCP1_1_VFD_APF,stop_tag_name
17,NCP1_2_BCN1_OIP,DINT,NCP1_2_BCN1,tag_name
18,NCP1_2_JR1_LT_OIP,BOOL,NCP1_2_JR1,lamp_tag_name
19,NCP1_2_VFD:O.ClearFault,BOOL,NCP1_2_VFD_APF,clear_fault_tag_name
20,NCP1_2_VFD:O.CommandedVelocity,REAL,NCP1_2_VFD_APF,commanded_velocity_tag_name
21,NCP1_2_VFD:O.DirectionCmd_0,BOOL,NCP1_2_VFD_APF,direction_cmd_0_tag_name
22,NCP1_2_VFD:O.DirectionCmd_1,BOOL,NCP1_2_VFD_APF,direction_cmd_1_tag_name
23,NCP1_2_VFD:O.DynamicAccelTime,REAL,NCP1_2_VFD_APF,dynamic_accel_time_tag_name
24,NCP1_2_VFD:O.DynamicDecelTime,REAL,NCP1_2_VFD_APF,dynamic_decel_time_tag_name
25,NCP1_2_VFD:O.Start,BOOL,NCP1_2_VFD_APF,start_tag_name
26,NCP1_2_VFD:O.Stop,BOOL,NCP1_2_VFD_APF,stop_tag_name
27,NCP1_3_BCN1_OIP,DINT,NCP1_3_BCN1,tag_name
28,NCP1_3_BCN2_OIP,DINT,NCP1_3_BCN2,tag_name
29,NCP1_3_JR1_LT_OIP,BOOL,NCP1_3_JR1,lamp_tag_name
30,NCP1_3_JR2_LT_OIP,BOOL,NCP1_3_JR2,lamp_tag_name
31,NCP1_3_VFD:O.ClearFault,BOOL,NCP1_3_VFD_APF,clear_fault_tag_name
32,NCP1_3_VFD:O.CommandedVelocity,REAL,NCP1_3_VFD_APF,commanded_velocity_tag_name
33,NCP1_3_VFD:O.DirectionCmd_0,BOOL,NCP1_3_VFD_APF,direction_cmd_0_tag_name
34,NCP1_3_VFD:O.DirectionCmd_1,BOOL,NCP1_3_VFD_APF,direction_cmd_1_tag_name
35,NCP1_3_VFD:O.DynamicAccelTime,REAL,NCP1_3_VFD_APF,dynamic_accel_time_tag_name
36,NCP1_3_VFD:O.DynamicDecelTime,REAL,NCP1_3_VFD_APF,dynamic_decel_time_tag_name
37,NCP1_3_VFD:O.Start,BOOL,NCP1_3_VFD_APF,start_tag_name
38,NCP1_3_VFD:O.Stop,BOOL,NCP1_3_VFD_APF,stop_tag_name
39,NCP1_4A_VFD:O.ClearFault,BOOL,NCP1_4A_VFD_APF,clear_fault_tag_name
40,NCP1_4A_VFD:O.CommandedVelocity,REAL,NCP1_4A_VFD_APF,commanded_velocity_tag_name
41,NCP1_4A_VFD:O.DirectionCmd_0,BOOL,NCP1_4A_VFD_APF,direction_cmd_0_tag_name
42,NCP1_4A_VFD:O.DirectionCmd_1,BOOL,NCP1_4A_VFD_APF,direction_cmd_1_tag_name
43,NCP1_4A_VFD:O.DynamicAccelTime,REAL,NCP1_4A_VFD_APF,dynamic_accel_time_tag_name
44,NCP1_4A_VFD:O.DynamicDecelTime,REAL,NCP1_4A_VFD_APF,dynamic_decel_time_tag_name
45,NCP1_4A_VFD:O.Start,BOOL,NCP1_4A_VFD_APF,start_tag_name
46,NCP1_4A_VFD:O.Stop,BOOL,NCP1_4A_VFD_APF,stop_tag_name
47,NCP1_4B_VFD:O.ClearFault,BOOL,NCP1_4B_VFD_APF,clear_fault_tag_name
48,NCP1_4B_VFD:O.CommandedVelocity,REAL,NCP1_4B_VFD_APF,commanded_velocity_tag_name
49,NCP1_4B_VFD:O.DirectionCmd_0,BOOL,NCP1_4B_VFD_APF,direction_cmd_0_tag_name
50,NCP1_4B_VFD:O.DirectionCmd_1,BOOL,NCP1_4B_VFD_APF,direction_cmd_1_tag_name
51,NCP1_4B_VFD:O.DynamicAccelTime,REAL,NCP1_4B_VFD_APF,dynamic_accel_time_tag_name
52,NCP1_4B_VFD:O.DynamicDecelTime,REAL,NCP1_4B_VFD_APF,dynamic_decel_time_tag_name
53,NCP1_4B_VFD:O.Start,BOOL,NCP1_4B_VFD_APF,start_tag_name
54,NCP1_4B_VFD:O.Stop,BOOL,NCP1_4B_VFD_APF,stop_tag_name
55,UL17_19_BCN1_OIP,DINT,UL17_19_BCN1,tag_name
56,UL17_19_BCN2_OIP,DINT,UL17_19_BCN2,tag_name
57,UL17_19_S1_LT_OIP,BOOL,UL17_19_S1,lamp_tag_name
58,UL17_19_VFD:O.ClearFault,BOOL,UL17_19_VFD_APF,clear_fault_tag_name
59,UL17_19_VFD:O.CommandedVelocity,REAL,UL17_19_VFD_APF,commanded_velocity_tag_name
60,UL17_19_VFD:O.DirectionCmd_0,BOOL,UL17_19_VFD_APF,direction_cmd_0_tag_name
61,UL17_19_VFD:O.DirectionCmd_1,BOOL,UL17_19_VFD_APF,direction_cmd_1_tag_name
62,UL17_19_VFD:O.DynamicAccelTime,REAL,UL17_19_VFD_APF,dynamic_accel_time_tag_name
63,UL17_19_VFD:O.DynamicDecelTime,REAL,UL17_19_VFD_APF,dynamic_decel_time_tag_name
