index,name,datatype,source_node,source_property
0,NCP1_2_VFD:I.TripFaultCode,DINT,NCP1_2_VFD_APF,trip_fault_code_tag_name
1,NCP1_3_VFD:I.TripFaultCode,DINT,NCP1_3_VFD_APF,trip_fault_code_tag_name
2,NCP1_4A_VFD:I.TripFaultCode,DINT,NCP1_4A_VFD_APF,trip_fault_code_tag_name
3,NCP1_4B_VFD:I.TripFaultCode,DINT,NCP1_4B_VFD_APF,trip_fault_code_tag_name
4,UL17_19_VFD:I.TripFaultCode,DINT,UL17_19_VFD_APF,trip_fault_code_tag_name
5,UL17_20_VFD:I.TripFaultCode,DINT,UL17_20_VFD_APF,trip_fault_code_tag_name
6,UL17_21_VFD:I.TripFaultCode,DINT,UL17_21_VFD_APF,trip_fault_code_tag_name
7,UL17_22_VFD:I.TripFaultCode,DINT,UL17_22_VFD_APF,trip_fault_code_tag_name
8,UL17_23_VFD:I.TripFaultCode,DINT,UL17_23_VFD_APF,trip_fault_code_tag_name
9,UL17_24_VFD:I.TripFaultCode,DINT,UL17_24_VFD_APF,trip_fault_code_tag_name
10,UL17_25_VFD:I.TripFaultCode,DINT,UL17_25_VFD_APF,trip_fault_code_tag_name
11,UL20_19_VFD:I.TripFaultCode,DINT,UL20_19_VFD_APF,trip_fault_code_tag_name
12,UL20_20_VFD:I.TripFaultCode,DINT,UL20_20_VFD_APF,trip_fault_code_tag_name
13,UL20_21_VFD:I.TripFaultCode,DINT,UL20_21_VFD_APF,trip_fault_code_tag_name
14,UL20_22_VFD:I.TripFaultCode,DINT,UL20_22_VFD_APF,trip_fault_code_tag_name
15,UL20_23_VFD:I.TripFaultCode,DINT,UL20_23_VFD_APF,trip_fault_code_tag_name
16,UL20_24_VFD:I.TripFaultCode,DINT,UL20_24_VFD_APF,trip_fault_code_tag_name
17,UL20_25_VFD:I.TripFaultCode,DINT,UL20_25_VFD_APF,trip_fault_code_tag_name
18,UL23_19_VFD:I.TripFaultCode,DINT,UL23_19_VFD_APF,trip_fault_code_tag_name
19,UL23_20_VFD:I.TripFaultCode,DINT,UL23_20_VFD_APF,trip_fault_code_tag_name
20,UL23_21_VFD:I.TripFaultCode,DINT,UL23_21_VFD_APF,trip_fault_code_tag_name
21,UL23_22_VFD:I.TripFaultCode,DINT,UL23_22_VFD_APF,trip_fault_code_tag_name
22,UL23_23_VFD:I.TripFaultCode,DINT,UL23_23_VFD_APF,trip_fault_code_tag_name
23,UL23_24_VFD:I.TripFaultCode,DINT,UL23_24_VFD_APF,trip_fault_code_tag_name
24,UL23_25_VFD:I.TripFaultCode,DINT,UL23_25_VFD_APF,trip_fault_code_tag_name
25,UL26_19_VFD:I.TripFaultCode,DINT,UL26_19_VFD_APF,trip_fault_code_tag_name
26,UL26_20_VFD:I.TripFaultCode,DINT,UL26_20_VFD_APF,trip_fault_code_tag_name
27,UL26_21_VFD:I.TripFaultCode,DINT,UL26_21_VFD_APF,trip_fault_code_tag_name
28,UL26_22_VFD:I.TripFaultCode,DINT,UL26_22_VFD_APF,trip_fault_code_tag_name
29,UL26_23_VFD:I.TripFaultCode,DINT,UL26_23_VFD_APF,trip_fault_code_tag_name
30,UL26_24_VFD:I.TripFaultCode,DINT,UL26_24_VFD_APF,trip_fault_code_tag_name
31,UL26_25_VFD:I.TripFaultCode,DINT,UL26_25_VFD_APF,trip_fault_code_tag_name
32,UL29_19_VFD:I.TripFaultCode,DINT,UL29_19_VFD_APF,trip_fault_code_tag_name
33,UL29_20_VFD:I.TripFaultCode,DINT,UL29_20_VFD_APF,trip_fault_code_tag_name
34,UL29_21_VFD:I.TripFaultCode,DINT,UL29_21_VFD_APF,trip_fault_code_tag_name
35,UL29_22_VFD:I.TripFaultCode,DINT,UL29_22_VFD_APF,trip_fault_code_tag_name
