index,name,datatype,source_node,source_property
0,MCM09_Communication_Fault_Reset_PB_I,BOOL,MCM09,communication_fault_reset_pb_tag_name
1,MCM09_EStop_PB_CH1_I,BOOL,MCM09,estop_ch1_tag_name
2,MCM09_EStop_PB_CH2_I,BOOL,MCM09,estop_ch2_tag_name
3,MCM09_Fire_Relay_I,BOOL,MCM09,fire_relay_tag_name
4,MCM09_Jam_Restart_PB_I,BOOL,MCM09,jam_restart_pb_tag_name
5,MCM09_Low_Air_Pressure_Reset_PB_I,BOOL,MCM09,low_air_pressure_reset_pb_tag_name
6,MCM09_Motor_Fault_Reset_PB_I,BOOL,MCM09,motor_fault_reset_pb_tag_name
7,MCM09_NAT_Switch_Fault_I,BOOL,MCM09,nat_switch_fault_tag_name
8,MCM09_On_UPS_I,BOOL,MCM09,on_ups_tag_name
9,MCM09_Power_Branch_Fault_Reset_PB_I,BOOL,MCM09,power_branch_fault_reset_pb_tag_name
10,MCM09_Start_PB_I,BOOL,MCM09,start_pb_tag_name
11,MCM09_Stop_PB_I,BOOL,MCM09,stop_pb_tag_name
12,MCM09_UPS_Fault_I,BOOL,MCM09,ups_fault_tag_name
13,MCM09_UPS_Low_I,BOOL,MCM09,ups_low_tag_name
14,NCP1_1_DISC_OIP,BOOL,NCP1_1_DISC,aux_disconnect_closed_tag_name
15,NCP1_1_DPM1_OIP,BOOL,NCP1_1_DPM1,pushbutton_tag_name
16,NCP1_1_JR1_PB_OIP,BOOL,NCP1_1_JR1,pushbutton_tag_name
17,NCP1_1_TPE1_OIP,BOOL,NCP1_1_TPE1,tag_name
18,NCP1_1_TPE2_OIP,BOOL,NCP1_1_TPE2,tag_name
19,NCP1_1_TPE3_OIP,BOOL,NCP1_1_TPE3,tag_name
20,NCP1_1_VFD:I.ConnectionFaulted,BOOL,NCP1_1_VFD_APF,connection_faulted_tag_name
21,NCP1_1_VFD:I.DisconnectClosed,BOOL,NCP1_1_VFD_APF,disconnect_closed_tag_name
22,NCP1_1_VFD:I.Fault,BOOL,NCP1_1_VFD_APF,fault_tag_name
23,NCP1_1_VFD:I.KeypadHandMode,BOOL,NCP1_1_VFD_APF,keypad_hand_mode_tag_name
24,NCP1_1_VFD:I.OutputCurrent,REAL,NCP1_1_VFD_APF,output_current_tag_name
25,NCP1_1_VFD:I.OutputVoltage,REAL,NCP1_1_VFD_APF,output_voltage_tag_name
26,NCP1_1_VFD:I.Running,BOOL,NCP1_1_VFD_APF,running_tag_name
27,NCP1_1_VFD:I.SafeTorqueEnabled,BOOL,NCP1_1_VFD_APF,safe_torque_enabled_tag_name
28,NCP1_1_VFD:I.TripFaultCode,DINT,NCP1_1_VFD_APF,trip_fault_code_tag_name
29,NCP1_1_VFD:I.Velocity,REAL,NCP1_1_VFD_APF,velocity_tag_name
30,NCP1_2_DISC_OIP,BOOL,NCP1_2_DISC,aux_disconnect_closed_tag_name
31,NCP1_2_DPM1_OIP,BOOL,NCP1_2_DPM1,pushbutton_tag_name
32,NCP1_2_FIOM1_OIP,BOOL,NCP1_2_FIOM1,pushbutton_tag_name
33,NCP1_2_JR1_PB_OIP,BOOL,NCP1_2_JR1,pushbutton_tag_name
34,NCP1_2_TPE1_OIP,BOOL,NCP1_2_TPE1,tag_name
35,NCP1_2_TPE2_OIP,BOOL,NCP1_2_TPE2,tag_name
36,NCP1_2_TPE3_OIP,BOOL,NCP1_2_TPE3,tag_name
37,NCP1_2_VFD:I.ConnectionFaulted,BOOL,NCP1_2_VFD_APF,connection_faulted_tag_name
38,NCP1_2_VFD:I.DisconnectClosed,BOOL,NCP1_2_VFD_APF,disconnect_closed_tag_name
39,NCP1_2_VFD:I.Fault,BOOL,NCP1_2_VFD_APF,fault_tag_name
40,NCP1_2_VFD:I.KeypadHandMode,BOOL,NCP1_2_VFD_APF,keypad_hand_mode_tag_name
41,NCP1_2_VFD:I.OutputCurrent,REAL,NCP1_2_VFD_APF,output_current_tag_name
42,NCP1_2_VFD:I.OutputVoltage,REAL,NCP1_2_VFD_APF,output_voltage_tag_name
43,NCP1_2_VFD:I.Running,BOOL,NCP1_2_VFD_APF,running_tag_name
44,NCP1_2_VFD:I.SafeTorqueEnabled,BOOL,NCP1_2_VFD_APF,safe_torque_enabled_tag_name
45,NCP1_2_VFD:I.TripFaultCode,DINT,NCP1_2_VFD_APF,trip_fault_code_tag_name
46,NCP1_2_VFD:I.Velocity,REAL,NCP1_2_VFD_APF,velocity_tag_name
47,NCP1_3_DISC_OIP,BOOL,NCP1_3_DISC,aux_disconnect_closed_tag_name
48,NCP1_3_DPM1_OIP,BOOL,NCP1_3_DPM1,pushbutton_tag_name
49,NCP1_3_FIOM1_OIP,BOOL,NCP1_3_FIOM1,pushbutton_tag_name
50,NCP1_3_JR1_PB_OIP,BOOL,NCP1_3_JR1,pushbutton_tag_name
51,NCP1_3_JR2_PB_OIP,BOOL,NCP1_3_JR2,pushbutton_tag_name
52,NCP1_3_TPE1_OIP,BOOL,NCP1_3_TPE1,tag_name
53,NCP1_3_TPE2_OIP,BOOL,NCP1_3_TPE2,tag_name
54,NCP1_3_TPE3_OIP,BOOL,NCP1_3_TPE3,tag_name
55,NCP1_3_TPE4_OIP,BOOL,NCP1_3_TPE4,tag_name
56,NCP1_3_TPE5_OIP,BOOL,NCP1_3_TPE5,tag_name
57,NCP1_3_VFD:I.ConnectionFaulted,BOOL,NCP1_3_VFD_APF,connection_faulted_tag_name
58,NCP1_3_VFD:I.DisconnectClosed,BOOL,NCP1_3_VFD_APF,disconnect_closed_tag_name
59,NCP1_3_VFD:I.Fault,BOOL,NCP1_3_VFD_APF,fault_tag_name
60,NCP1_3_VFD:I.KeypadHandMode,BOOL,NCP1_3_VFD_APF,keypad_hand_mode_tag_name
61,NCP1_3_VFD:I.OutputCurrent,REAL,NCP1_3_VFD_APF,output_current_tag_name
62,NCP1_3_VFD:I.OutputVoltage,REAL,NCP1_3_VFD_APF,output_voltage_tag_name
63,NCP1_3_VFD:I.Running,BOOL,NCP1_3_VFD_APF,running_tag_name
64,NCP1_3_VFD:I.SafeTorqueEnabled,BOOL,NCP1_3_VFD_APF,safe_torque_enabled_tag_name
65,NCP1_3_VFD:I.TripFaultCode,DINT,NCP1_3_VFD_APF,trip_fault_code_tag_name
66,NCP1_3_VFD:I.Velocity,REAL,NCP1_3_VFD_APF,velocity_tag_name
67,NCP1_4A_DISC_OIP,BOOL,NCP1_4A_DISC,aux_disconnect_closed_tag_name
68,NCP1_4A_VFD:I.ConnectionFaulted,BOOL,NCP1_4A_VFD_APF,connection_faulted_tag_name
69,NCP1_4A_VFD:I.DisconnectClosed,BOOL,NCP1_4A_VFD_APF,disconnect_closed_tag_name
70,NCP1_4A_VFD:I.Fault,BOOL,NCP1_4A_VFD_APF,fault_tag_name
71,NCP1_4A_VFD:I.KeypadHandMode,BOOL,NCP1_4A_VFD_APF,keypad_hand_mode_tag_name
72,NCP1_4A_VFD:I.OutputCurrent,REAL,NCP1_4A_VFD_APF,output_current_tag_name
73,NCP1_4A_VFD:I.OutputVoltage,REAL,NCP1_4A_VFD_APF,output_voltage_tag_name
74,NCP1_4A_VFD:I.Running,BOOL,NCP1_4A_VFD_APF,running_tag_name
75,NCP1_4A_VFD:I.SafeTorqueEnabled,BOOL,NCP1_4A_VFD_APF,safe_torque_enabled_tag_name
76,NCP1_4A_VFD:I.TripFaultCode,DINT,NCP1_4A_VFD_APF,trip_fault_code_tag_name
77,NCP1_4A_VFD:I.Velocity,REAL,NCP1_4A_VFD_APF,velocity_tag_name
78,NCP1_4B_DISC_OIP,BOOL,NCP1_4B_DISC,aux_disconnect_closed_tag_name
79,NCP1_4B_VFD:I.ConnectionFaulted,BOOL,NCP1_4B_VFD_APF,connection_faulted_tag_name
80,NCP1_4B_VFD:I.DisconnectClosed,BOOL,NCP1_4B_VFD_APF,disconnect_closed_tag_name
81,NCP1_4B_VFD:I.Fault,BOOL,NCP1_4B_VFD_APF,fault_tag_name
82,NCP1_4B_VFD:I.KeypadHandMode,BOOL,NCP1_4B_VFD_APF,keypad_hand_mode_tag_name
83,NCP1_4B_VFD:I.OutputCurrent,REAL,NCP1_4B_VFD_APF,output_current_tag_name
84,NCP1_4B_VFD:I.OutputVoltage,REAL,NCP1_4B_VFD_APF,output_voltage_tag_name
85,NCP1_4B_VFD:I.Running,BOOL,NCP1_4B_VFD_APF,running_tag_name
86,NCP1_4B_VFD:I.SafeTorqueEnabled,BOOL,NCP1_4B_VFD_APF,safe_torque_enabled_tag_name
87,NCP1_4B_VFD:I.TripFaultCode,DINT,NCP1_4B_VFD_APF,trip_fault_code_tag_name
88,NCP1_4B_VFD:I.Velocity,REAL,NCP1_4B_VFD_APF,velocity_tag_name
89,NCP1_5_TPE1_OIP,BOOL,NCP1_5_TPE1,tag_name
90,PDP04_CB10_OIP,BOOL,CB10,pushbutton_tag_name
91,PDP04_CB11_OIP,BOOL,CB11,pushbutton_tag_name
92,PDP04_CB12_OIP,BOOL,CB12,pushbutton_tag_name
93,PDP04_CB13_OIP,BOOL,CB13,pushbutton_tag_name
94,PDP04_CB14_OIP,BOOL,CB14,pushbutton_tag_name
95,PDP04_CB15_OIP,BOOL,CB15,pushbutton_tag_name
96,PDP04_CB16_OIP,BOOL,CB16,pushbutton_tag_name
97,PDP04_CB17_OIP,BOOL,CB17,pushbutton_tag_name
98,PDP04_CB18_OIP,BOOL,CB18,pushbutton_tag_name
99,PDP04_CB19_OIP,BOOL,CB19,pushbutton_tag_name
100,PDP04_CB1_OIP,BOOL,CB1,pushbutton_tag_name
101,PDP04_CB20_OIP,BOOL,CB20,pushbutton_tag_name
102,PDP04_CB21_OIP,BOOL,CB21,pushbutton_tag_name
103,PDP04_CB22_OIP,BOOL,CB22,pushbutton_tag_name
104,PDP04_CB23_OIP,BOOL,CB23,pushbutton_tag_name
105,PDP04_CB24_OIP,BOOL,CB24,pushbutton_tag_name
106,PDP04_CB25_OIP,BOOL,CB25,pushbutton_tag_name
107,PDP04_CB26_OIP,BOOL,CB26,pushbutton_tag_name
108,PDP04_CB2_OIP,BOOL,CB2,pushbutton_tag_name
109,PDP04_CB3_OIP,BOOL,CB3,pushbutton_tag_name
110,PDP04_CB4_OIP,BOOL,CB4,pushbutton_tag_name
111,PDP04_CB5_OIP,BOOL,CB5,pushbutton_tag_name
112,PDP04_CB6_OIP,BOOL,CB6,pushbutton_tag_name
113,PDP04_CB7_OIP,BOOL,CB7,pushbutton_tag_name
114,PDP04_CB8_OIP,BOOL,CB8,pushbutton_tag_name
115,PDP04_CB9_OIP,BOOL,CB9,pushbutton_tag_name
116,PDP04_FIOH1_OIP,BOOL,PDP04_FIOH1,pushbutton_tag_name
117,PDP04_FIOM1_OIP,BOOL,PDP04_FIOM1,pushbutton_tag_name
118,PDP04_PHASE_MOTOR_FAULT_OIP,BOOL,PHASE_MOTOR,pushbutton_tag_name
119,UL17_19_DISC_OIP,BOOL,UL17_19_DISC,aux_disconnect_closed_tag_name
120,UL17_19_EPC1_CH1_OIP,BOOL,UL17_19_EPC1,channel_1_tag_name
121,UL17_19_EPC1_CH2_OIP,BOOL,UL17_19_EPC1,channel_2_tag_name
122,UL17_19_FIOM1_OIP,BOOL,UL17_19_FIOM1,pushbutton_tag_name
123,UL17_19_S1_PB_OIP,BOOL,UL17_19_S1,pushbutton_tag_name
124,UL17_19_TPE1_OIP,BOOL,UL17_19_TPE1,tag_name
125,UL17_19_VFD:I.ConnectionFaulted,BOOL,UL17_19_VFD_APF,connection_faulted_tag_name
126,UL17_19_VFD:I.DisconnectClosed,BOOL,UL17_19_VFD_APF,disconnect_closed_tag_name
127,UL17_19_VFD:I.Fault,BOOL,UL17_19_VFD_APF,fault_tag_name
128,UL17_19_VFD:I.KeypadHandMode,BOOL,UL17_19_VFD_APF,keypad_hand_mode_tag_name
129,UL17_19_VFD:I.OutputCurrent,REAL,UL17_19_VFD_APF,output_current_tag_name
130,UL17_19_VFD:I.OutputVoltage,REAL,UL17_19_VFD_APF,output_voltage_tag_name
131,UL17_19_VFD:I.Running,BOOL,UL17_19_VFD_APF,running_tag_name
132,UL17_19_VFD:I.SafeTorqueEnabled,BOOL,UL17_19_VFD_APF,safe_torque_enabled_tag_name
133,UL17_19_VFD:I.TripFaultCode,DINT,UL17_19_VFD_APF,trip_fault_code_tag_name
134,UL17_19_VFD:I.Velocity,REAL,UL17_19_VFD_APF,velocity_tag_name
135,UL17_20_DISC_OIP,BOOL,UL17_20_DISC,aux_disconnect_closed_tag_name
136,UL17_20_TPE1_OIP,BOOL,UL17_20_TPE1,tag_name
137,UL17_20_VFD:I.ConnectionFaulted,BOOL,UL17_20_VFD_APF,connection_faulted_tag_name
138,UL17_20_VFD:I.DisconnectClosed,BOOL,UL17_20_VFD_APF,disconnect_closed_tag_name
139,UL17_20_VFD:I.Fault,BOOL,UL17_20_VFD_APF,fault_tag_name
140,UL17_20_VFD:I.KeypadHandMode,BOOL,UL17_20_VFD_APF,keypad_hand_mode_tag_name
141,UL17_20_VFD:I.OutputCurrent,REAL,UL17_20_VFD_APF,output_current_tag_name
142,UL17_20_VFD:I.OutputVoltage,REAL,UL17_20_VFD_APF,output_voltage_tag_name
143,UL17_20_VFD:I.Running,BOOL,UL17_20_VFD_APF,running_tag_name
144,UL17_20_VFD:I.SafeTorqueEnabled,BOOL,UL17_20_VFD_APF,safe_torque_enabled_tag_name
145,UL17_20_VFD:I.TripFaultCode,DINT,UL17_20_VFD_APF,trip_fault_code_tag_name
146,UL17_20_VFD:I.Velocity,REAL,UL17_20_VFD_APF,velocity_tag_name
147,UL17_21_DISC_OIP,BOOL,UL17_21_DISC,aux_disconnect_closed_tag_name
148,UL17_21_TPE1_OIP,BOOL,UL17_21_TPE1,tag_name
149,UL17_21_VFD:I.ConnectionFaulted,BOOL,UL17_21_VFD_APF,connection_faulted_tag_name
150,UL17_21_VFD:I.DisconnectClosed,BOOL,UL17_21_VFD_APF,disconnect_closed_tag_name
151,UL17_21_VFD:I.Fault,BOOL,UL17_21_VFD_APF,fault_tag_name
152,UL17_21_VFD:I.KeypadHandMode,BOOL,UL17_21_VFD_APF,keypad_hand_mode_tag_name
153,UL17_21_VFD:I.OutputCurrent,REAL,UL17_21_VFD_APF,output_current_tag_name
154,UL17_21_VFD:I.OutputVoltage,REAL,UL17_21_VFD_APF,output_voltage_tag_name
155,UL17_21_VFD:I.Running,BOOL,UL17_21_VFD_APF,running_tag_name
156,UL17_21_VFD:I.SafeTorqueEnabled,BOOL,UL17_21_VFD_APF,safe_torque_enabled_tag_name
157,UL17_21_VFD:I.TripFaultCode,DINT,UL17_21_VFD_APF,trip_fault_code_tag_name
158,UL17_21_VFD:I.Velocity,REAL,UL17_21_VFD_APF,velocity_tag_name
159,UL17_22_DISC_OIP,BOOL,UL17_22_DISC,aux_disconnect_closed_tag_name
160,UL17_22_FIOM1_OIP,BOOL,UL17_22_FIOM1,pushbutton_tag_name
161,UL17_22_JR1_PB_OIP,BOOL,UL17_22_JR1,pushbutton_tag_name
162,UL17_22_TPE1_OIP,BOOL,UL17_22_TPE1,tag_name
163,UL17_22_VFD:I.ConnectionFaulted,BOOL,UL17_22_VFD_APF,connection_faulted_tag_name
164,UL17_22_VFD:I.DisconnectClosed,BOOL,UL17_22_VFD_APF,disconnect_closed_tag_name
165,UL17_22_VFD:I.Fault,BOOL,UL17_22_VFD_APF,fault_tag_name
166,UL17_22_VFD:I.KeypadHandMode,BOOL,UL17_22_VFD_APF,keypad_hand_mode_tag_name
167,UL17_22_VFD:I.OutputCurrent,REAL,UL17_22_VFD_APF,output_current_tag_name
168,UL17_22_VFD:I.OutputVoltage,REAL,UL17_22_VFD_APF,output_voltage_tag_name
169,UL17_22_VFD:I.Running,BOOL,UL17_22_VFD_APF,running_tag_name
170,UL17_22_VFD:I.SafeTorqueEnabled,BOOL,UL17_22_VFD_APF,safe_torque_enabled_tag_name
171,UL17_22_VFD:I.TripFaultCode,DINT,UL17_22_VFD_APF,trip_fault_code_tag_name
172,UL17_22_VFD:I.Velocity,REAL,UL17_22_VFD_APF,velocity_tag_name
173,UL17_23_DISC_OIP,BOOL,UL17_23_DISC,aux_disconnect_closed_tag_name
174,UL17_23_TPE1_OIP,BOOL,UL17_23_TPE1,tag_name
175,UL17_23_VFD:I.ConnectionFaulted,BOOL,UL17_23_VFD_APF,connection_faulted_tag_name
176,UL17_23_VFD:I.DisconnectClosed,BOOL,UL17_23_VFD_APF,disconnect_closed_tag_name
177,UL17_23_VFD:I.Fault,BOOL,UL17_23_VFD_APF,fault_tag_name
178,UL17_23_VFD:I.KeypadHandMode,BOOL,UL17_23_VFD_APF,keypad_hand_mode_tag_name
179,UL17_23_VFD:I.OutputCurrent,REAL,UL17_23_VFD_APF,output_current_tag_name
180,UL17_23_VFD:I.OutputVoltage,REAL,UL17_23_VFD_APF,output_voltage_tag_name
181,UL17_23_VFD:I.Running,BOOL,UL17_23_VFD_APF,running_tag_name
182,UL17_23_VFD:I.SafeTorqueEnabled,BOOL,UL17_23_VFD_APF,safe_torque_enabled_tag_name
183,UL17_23_VFD:I.TripFaultCode,DINT,UL17_23_VFD_APF,trip_fault_code_tag_name
184,UL17_23_VFD:I.Velocity,REAL,UL17_23_VFD_APF,velocity_tag_name
185,UL17_24_DISC_OIP,BOOL,UL17_24_DISC,aux_disconnect_closed_tag_name
186,UL17_24_LPE1_MEASUREMENT,REAL,UL17_24_LPE1,tag_name
187,UL17_24_LPE1_OIP,BOOL,UL17_24_LPE1,output_tag_name
